Day,Language Classwork,Lanugage Wordly Wise,Language Spelling,Language Seatwork,Chemistry Textbook,Chemistry Worksheets,Chemistry Videos,PsySo - VIDEO,PsyS0 Summaries,Computer BFN,Computer videos,Geometry Textbook,Geometry WORKBOOK,"Geometry 1,001 Problems",Geometry BFN,Geometry VIDEOS,Emma Math
1,How to Use Google Docs - https://youtu.be/z9i_h-WMQ68,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Create a document and short writing assignment.,2-6,,https://youtu.be/Rd4a1X3B61w  https://youtu.be/FSyAehMdpyI,https://youtu.be/vo4pMVb0R6M,,12-15,CCCS Preview - https://youtu.be/tpIctyqH29Q,,,,2 - 16,https://youtu.be/DftcftLs4VU,Today's Worksheets
2,Making Tables in Google Docs - https://youtu.be/9kHaGLr2RHA,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Create a document with a table.,7-15,Worksheet 01,https://youtu.be/N6IAzlugWw0  https://youtu.be/d_Zz44MpJ-M,https://youtu.be/hFV71QPvX2I,,,CCCS #1 - Early Computing - https://youtu.be/O5nskjZ_GoI,,,,17 - 26,https://youtu.be/302eJ3TzJQU,Today's Worksheets
3,How to Use Google Sheets - https://youtu.be/FIkZ1sPmKNw,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,*Google Spreadsheet Lesson 01* ,16-21,,https://youtu.be/XFeH_qljSUo,,"PsyText: Chapter 1 and 2 Summary (pp 42-47, 77-84)",,CCCS #2 - Electronic Computing - https://youtu.be/LN0ucKNX0hc,7-12 top,,,,,Today's Worksheets
4,,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,*Google Spreadsheet Lesson 02*,22-26,Worksheet 02,https://youtu.be/vhIhfCT66JU,https://youtu.be/W4N-7AlzK7s,,,Watch The Imitation Game - Day 1,12 top - 16,,,,,Today's Worksheets
5, Borders (vocab) -https://www.khanacademy.org/ela/cc-9th-reading-vocab/x73a76fccbaf2a246:cc-9th-borders,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,27-31,CFD pp 9-10,https://youtu.be/FR28zf2Aiwo,https://youtu.be/vHrmiy4W9C0,,,Watch The Imitation Game - Day 2,17-22 mid,,,,,Today's Worksheets
6,Citing Evidence in Literary Analysis - https://www.khanacademy.org/ela/cc-9th-reading-vocab/x73a76fccbaf2a246:cc-9th-borders,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,32-39,CFD pp 11-12,https://youtu.be/87uUs2_2Pwc,https://youtu.be/unWnZvXJH2o,,,Watch The Imitation Game - Day 3,22 mid - 30,,,,,Today's Worksheets
7,Developing Themes - https://www.khanacademy.org/ela/cc-9th-reading-vocab/x73a76fccbaf2a246:cc-9th-borders,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Writing 01 - Choose topic and brainstorm,,,Review for Test on Chapters 1-3,,PsyText: Chapter 3 Summary (pp 117-124),,Watch The Imitation Game - Day 4,31-36,,,,,Today's Worksheets
8,Analyzing through word choice - https://www.khanacademy.org/ela/cc-9th-reading-vocab/x73a76fccbaf2a246:cc-9th-borders,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Writing 01 - 3 main points and 2 subpoints for each,,,Test: Ch 1-3,REVIEW FOR NEXT TEST,,16-19,CCCS #5 - The ALU - https://youtu.be/1I5ZMmrOfnA,37 - 42,,,,,Today's Worksheets
9,The elements of a poem - https://www.khanacademy.org/ela/cc-9th-reading-vocab/x73a76fccbaf2a246:cc-9th-borders,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,40-45,CFD 21-23,https://youtu.be/hQpQ0hxVNTg,REVIEW FOR TEST TOMORROW,,20-22,CCCS #6 - Registers and RAM - https://youtu.be/fpnE6UAfbtU,45-53,,,,,Today's Worksheets
10,Mending Wall - https://www.khanacademy.org/ela/cc-9th-reading-vocab/x73a76fccbaf2a246:cc-9th-borders,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,46-55,OEC 1.5,https://youtu.be/pFl49nIGQF8,TEST 1,,23-27 top,CCCS #7 - The CPU - https://youtu.be/FZGugFqdr60,55-59 mid,9-12 mid ,,,https://youtu.be/mlG56WCfobI,Today's Worksheets
